Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,-0.026764,0.62,7,-1.112610203,0,0.9108
1,-0.284441,,,,,
2,-0.52246,,,,,
3,-0.802522,,,,,
4,-0.975795,,,,,
5,-1.000488,,,,,
6,-0.983826,,,,,
7,-0.972236,,,,,
8,-0.993452,,,,,
9,-1.032949,,,,,
10,-1.049689,,,,,
11,-1.05395,,,,,
12,-1.06267,,,,,
13,-1.068902,,,,,
14,-1.069147,,,,,
15,-1.073757,,,,,
16,-1.087504,,,,,
17,-1.102046,,,,,
18,-1.109426,,,,,
19,-1.111004,,,,,
20,-1.110995,,,,,
21,-1.110014,,,,,
22,-1.108402,,,,,
23,-1.108564,,,,,
24,-1.11261,,,,,