Bond Length (Å) ; JSD w/o DD ; JSD with DD 
0,54;0,001853;0,000948
0,5;0,000993;0,002924
0,58;0,002632;0,003034
0,62;0,001788;0,006618
0,66;0,000749;0,00072
0,742;0,000598;0,000809
0,74;0,002483;0,001694
0,7;0,0027;0,002078
0,78;0,000897;0,000933
0,82;0,003697;0,001074
0,86;0,000696;0,000956
0,94;0,002853;0,00156
0,9;0,00281;0,000238
0,98;0,00218;0,000793
1,02;0,00161;0,001377
1,06;0,001363;0,003327
1,14;0,003371;0,000358
1,1;0,001823;0,001077
1,18;0,002839;0,001728
1,22;0,001089;0,001085
1,26;0,000753;0,001544
1,34;0,001601;0,001043
1,3;0,001368;0,002294
1,38;0,000569;0,001072
1,42;0,001351;0,002412
1,46;0,002326;0,000715
1,54;0,000973;0,000774
1,5;0,002819;0,001122
1,58;0,004466;0,001941
1,62;0,00249;0,003568
1,66;0,003129;0,001277
1,74;0,00155;0,000753
1,7;0,001204;0,00135
1,78;0,001236;0,001836
1,82;0,001219;0,000624
1,86;0,001438;0,001008
1,94;0,001166;0,000516
1,9;0,001664;0,001252
1,98;0,000442;0,001153
2,02;0,001053;0,002061
2,06;0,001932;0,001367
2,1;0,001353;0,000837
0,5;0,001482;0,000452
0,54;0,000535;0,001196
0,58;0,000175;0,000436
0,62;0,000637;0,000087
0,66;0,001122;0,000275
0,7;0,000181;0,000959
0,742;0,002541;0,00028
0,74;0,001562;0,000032
0,78;0,000382;0,000436
0,82;0,000413;0,000065
0,86;0,000166;0,000094
0,9;0,000697;0,000309
0,94;0,000064;0,000161
0,98;0,001085;0,000037
1,02;0,001652;0,000013
1,06;0,000233;0,000562
1,1;0,000829;0,000011
1,14;0,00035;0,001063
1,18;0,000309;0,000009
1,22;0,000776;0,000529
1,26;0,001163;0,001409
1,3;0,000013;0,000242
1,34;0,000059;0,000386
1,38;0,000025;0,000482
1,42;0,000233;0,000353
1,46;0,000432;0,000064
1,5;0,000147;0,000014
1,54;0,000931;0,000095
1,58;0,000538;0,000423
1,62;0,000616;0,000891
1,66;0,000802;0,000108
1,7;0,000055;0,000053
1,74;0,000586;0,000279
1,78;0,000374;0,000334
1,82;0,001144;0,000238
1,86;0,000029;0,000259
1,9;0,000729;0,000181
1,94;0,000418;0,000277
1,98;0,000231;0,000626
2,02;0,000047;0,000517
2,06;0,000136;0,000363
2,1;0,000791;0,000134